id,url,title,genre,img,desc,key_word
606,https://webtoon.kakao.com/content/보지-못하고-듣지-못하고-사랑해/606,보지 못하고 듣지 못하고 사랑해,로맨스,606.jpg,나는 당신을 못보고 당신은 나를 못듣지만 그래도 사랑해,"['가슴먹먹한', '감동적인', '로맨스', '새드무비']"
611,https://webtoon.kakao.com/content/아쉬탕가/611,아쉬탕가,드라마,611.jpg,궁극의 기술 '아쉬탕가'를 완벽 마스터 하는 자 누가 될 것인가!,"['웃기는', '유익한', '드라마', '지식정보']"
620,https://webtoon.kakao.com/content/차이니즈-봉봉클럽-북경편/620,차이니즈 봉봉클럽 북경편,코믹/일상,620.jpg,"""""""차이니즈봉봉클럽의 차기 회장을 뽑도록 하지.""""  온갖 지역의 산해진미가 가득한 북경에서 살아보기로 한 은영양과 그녀의 가족.  '마파두부' '마라샹궈' '딤섬'  그곳에서 은영양은 삼시네끼로도 부족한 행복한 나날을 보낸다.  그러던 어느 날 가족의 초대로 차봉 멤버가 북경에 모였다. 그리고 첫 식사인 '베이징 오리'를 맛보는 순간... 어느덧 바뀌어 있는 '아롱'의 모자!  차봉의 회장이라면 무조건 써야 되는 저 모자... 회장을 뽑기 위해 시작된 모종의 대결! 과연 그 승자는 누구일까?!""","['식욕을자극하는', '유익한', '코믹/일상', '에피소드물']"
626,https://webtoon.kakao.com/content/흰둥이/626,흰둥이,드라마,626.jpg,오늘도 흰둥이는 사람들과 살아갑니다,"['귀여운', '따뜻한', '드라마', '힐링물']"
635,https://webtoon.kakao.com/content/겨울하나/635,겨울하나,판타지 드라마,635.jpg,유령소년 유가온이 죽은뒤에 맞는 첫 인연에 대한 이야기,"['설레는', '몰입되는', '판타지드라마']"
637,https://webtoon.kakao.com/content/앞으로-나란히/637,앞으로 나란히,드라마,637.jpg,당신이 알게 된 진짜 사랑이 지금의 사랑이 아니라면..,"['미스테리한', '긴장감있는', '드라마', '반전물']"
646,https://webtoon.kakao.com/content/마당에-데굴데굴-열매/646,마당에 데굴데굴 열매,드라마,646.jpg,간절히 바라는 이에게 이 소중한 씨앗을 드립니다,"['따뜻한', '평온한', '드라마', '힐링물']"
655,https://webtoon.kakao.com/content/기네스-세계기록-세우기/655,기네스 세계기록 세우기,학원/판타지,655.jpg,기네스 세계기록에 도전하는 소년 소녀들의 당찬 이야기!,"['웃기는', '통쾌한', '학원/판타지', '성장물']"
660,https://webtoon.kakao.com/content/오-마이-레이스/660,오! 마이 레이스,로맨스,660.jpg,전쟁터와 같은 패션계 레이스를 사랑하는 이 남자를 주목하라!,"['설레는', '발랄한', '로맨스', '성장물']"
666,https://webtoon.kakao.com/content/마왕을-위한-동화/666,마왕을 위한 동화,학원/판타지,666.jpg,지위도 명예도 버렸다..하지만 상관없다 너를 가질 수만 있다면,"['처절한', '몰입되는', '학원/판타지', '기사물']"
